Time, Sample Count, IR Count, Red Count, Raw ECG, Raw ECG (mV), Filtered ECG, Filtered ECG (mV)
2023-10-26 13:47:44.305,94735,202172,184460,-45051,-13.793489925,14328,4.3868754
2023-10-26 13:47:44.305,94736,202216,184463,-27765,-8.500948875,5165,1.581393875
2023-10-26 13:47:44.305,94737,202240,184474,52271,16.004073425,-3162,-0.96812535
2023-10-26 13:47:44.335,94738,202294,184469,39978,12.24026415,5653,1.730807275
2023-10-26 13:47:44.335,94739,202286,184492,-45020,-13.7839985,13839,4.237155825
2023-10-26 13:47:44.335,94740,202325,184498,-29806,-9.12585205,5078,1.55475665
2023-10-26 13:47:44.335,94741,202365,184524,50488,15.4581634,-3038,-0.93015965
2023-10-26 13:47:44.335,94742,202391,184529,40162,12.29660035,5740,1.7574445
2023-10-26 13:47:44.335,94743,202437,184564,-43582,-13.34371885,13760,4.212968
2023-10-26 13:47:44.365,94744,202492,184596,-29122,-8.91642835,4661,1.427081675
2023-10-26 13:47:44.365,94745,202551,184637,51956,15.9076283,-3848,-1.1781614
2023-10-26 13:47:44.365,94746,202603,184657,42976,13.1581768,4849,1.484642575
2023-10-26 13:47:44.365,94747,202651,184702,-42492,-13.0099881,13314,4.07641395
2023-10-26 13:47:44.365,94748,202722,184732,-32164,-9.8478127,4801,1.469946175
2023-10-26 13:47:44.395,94749,202743,184774,48120,14.733141,-3588,-1.0985559
2023-10-26 13:47:44.395,94750,202799,184774,42133,12.900071275,4912,1.5039316
2023-10-26 13:47:44.395,94751,202811,184795,-43422,-13.29473085,13252,4.0574311
2023-10-26 13:47:44.395,94752,202819,184786,-33088,-10.1307184,4559,1.395851825
2023-10-26 13:47:44.395,94753,202833,184817,48494,14.84765045,-4044,-1.2381717
2023-10-26 13:47:44.395,94754,202858,184808,43579,13.342800325,4566,1.39799505
2023-10-26 13:47:44.395,94755,202870,184813,-42648,-13.0577514,13352,4.0880486
2023-10-26 13:47:44.395,94756,202881,184823,-33247,-10.179400225,4853,1.485867275
2023-10-26 13:47:44.425,94757,202878,184820,47674,14.59658695,-4143,-1.268483025
2023-10-26 13:47:44.425,94758,202891,184814,42901,13.135213675,3985,1.220107375
2023-10-26 13:47:44.425,94759,202876,184819,-43144,-13.2096142,12766,3.90863005
2023-10-26 13:47:44.425,94760,202869,184806,-34663,-10.612944025,4607,1.410548225
2023-10-26 13:47:44.425,94761,202871,184807,46108,14.1171169,-4104,-1.2565422
2023-10-26 13:47:44.425,94762,202878,184795,41868,12.8189349,4390,1.34410825
2023-10-26 13:47:44.455,94763,202874,184801,-43154,-13.21267595,13752,4.2105186
2023-10-26 13:47:44.455,94764,202862,184792,-35972,-11.0137271,5789,1.772447075
2023-10-26 13:47:44.455,94765,202857,184774,45151,13.824107425,-3603,-1.103148525
2023-10-26 13:47:44.455,94766,202889,184799,43172,13.2181871,4012,1.2283741
2023-10-26 13:47:44.455,94767,202865,184802,-42615,-13.047647625,13030,3.98946025
2023-10-26 13:47:44.455,94768,202891,184804,-37320,-11.426451,4885,1.495664875
2023-10-26 13:47:44.455,94769,202906,184811,44765,13.705923875,-4839,-1.481580825
2023-10-26 13:47:44.485,94770,202944,184804,43416,13.2928938,2635,0.806771125
2023-10-26 13:47:44.485,94771,202963,184824,-42457,-12.999271975,11922,3.65021835
2023-10-26 13:47:44.485,94772,202956,184814,-38342,-11.73936185,4284,1.3116537
2023-10-26 13:47:44.485,94773,202970,184834,43922,13.44781835,-4903,-1.501176025
2023-10-26 13:47:44.485,94774,203018,184836,46162,14.13365035,3031,0.928016425
2023-10-26 13:47:44.485,94775,203041,184851,-40005,-12.248530875,12610,3.86086675
2023-10-26 13:47:44.485,94776,203071,184856,-37997,-11.633731475,4876,1.4929093
2023-10-26 13:47:44.525,94777,203101,184886,42993,13.163381775,-4969,-1.521383575
2023-10-26 13:47:44.525,94778,203130,184902,44178,13.52619915,2024,0.6196982
2023-10-26 13:47:44.525,94779,203172,184923,-41698,-12.76688515,10961,3.355984175
2023-10-26 13:47:44.525,94780,203196,184919,-39524,-12.1012607,3126,0.95710305
2023-10-26 13:47:44.525,94781,203219,184938,42389,12.978452075,-6536,-2.0011598
2023-10-26 13:47:44.555,94782,203264,184957,45185,13.834517375,975,0.298520625
2023-10-26 13:47:44.555,94783,203258,184944,-42624,-13.0504032,10814,3.31097645
2023-10-26 13:47:44.555,94784,203325,184974,-41972,-12.8507771,3552,1.0875336
2023-10-26 13:47:44.585,94785,203341,184984,41119,12.589609825,-6252,-1.9142061
2023-10-26 13:47:44.585,94786,203367,184991,47235,14.462176125,908,0.2780069
2023-10-26 13:47:44.585,94787,203385,185007,-39006,-11.94266205,10571,3.236575925
2023-10-26 13:47:44.615,94788,203413,185006,-40838,-12.50357465,3215,0.984352625
2023-10-26 13:47:44.615,94789,203442,185009,41010,12.55623675,-6780,-2.0758665
2023-10-26 13:47:44.615,94790,203480,185031,48640,14.892352,449,0.137472575
2023-10-26 13:47:44.615,94791,203491,185048,-39313,-12.036657775,10846,3.32077405
2023-10-26 13:47:44.645,94792,203511,185048,-43905,-13.442613375,4249,1.300937575
2023-10-26 13:47:44.645,94793,203553,185062,38521,11.794167175,-5655,-1.731419625
2023-10-26 13:47:44.645,94794,203562,185080,47797,14.634246475,1090,0.33373075
2023-10-26 13:47:44.645,94795,203608,185084,-38523,-11.794779525,10821,3.313119675
2023-10-26 13:47:44.645,94796,203673,185107,-43000,-13.165525,3701,1.133153675
2023-10-26 13:47:44.675,94797,203688,185129,39144,11.9849142,-6541,-2.002690675
2023-10-26 13:47:44.675,94798,203733,185148,49614,15.19056645,115,0.035210125
2023-10-26 13:47:44.675,94799,203781,185177,-36748,-11.2513189,9929,3.040011575
2023-10-26 13:47:44.675,94800,203825,185177,-43034,-13.17593495,2610,0.79911675
2023-10-26 13:47:44.705,94801,203860,185197,38559,11.805801825,-8039,-2.461340825
2023-10-26 13:47:44.705,94802,203909,185230,50577,15.485412975,-1236,-0.3784323
2023-10-26 13:47:44.705,94803,203931,185228,-35648,-10.9145264,9672,2.9613246
2023-10-26 13:47:44.895,94804,203982,185240,-44977,-13.770832975,3673,1.124580775
2023-10-26 13:47:44.895,94805,204010,185259,37261,11.408386675,-6517,-1.995342475
2023-10-26 13:47:44.925,94806,204031,185279,50996,15.6137003,11,0.003367925
2023-10-26 13:47:44.925,94807,204034,185293,-34680,-10.618149,10657,3.262906975
2023-10-26 13:47:44.925,94808,204097,185294,-44827,-13.724906725,4261,1.304611675
2023-10-26 13:47:44.925,94809,204114,185295,36299,11.113846325,-6676,-2.0440243
2023-10-26 13:47:44.925,94810,204149,185317,50873,15.576040775,-765,-0.234223875
2023-10-26 13:47:44.925,94811,204170,185327,-34669,-10.614781075,9739,2.981838325
2023-10-26 13:47:44.925,94812,204214,185341,-46151,-14.130282425,3512,1.0752866
2023-10-26 13:47:44.925,94813,204242,185344,34830,10.66407525,-7308,-2.2375269
2023-10-26 13:47:44.925,94814,204275,185353,51072,15.6369696,-1303,-0.398946025
2023-10-26 13:47:44.925,94815,204300,185358,-34119,-10.446384825,9659,2.957344325
2023-10-26 13:47:44.955,94816,204346,185368,-48754,-14.92725595,4142,1.26817685
2023-10-26 13:47:44.955,94817,204358,185384,29276,8.9635793,-6206,-1.90012205
2023-10-26 13:47:44.955,94818,204385,185392,46313,14.179882775,-10,-0.00306175
2023-10-26 13:47:44.955,94819,204388,185391,-38700,-11.8489725,11097,3.397623975
2023-10-26 13:47:44.955,94820,204424,185418,-52045,-15.934877875,5319,1.628544825
2023-10-26 13:47:44.955,94821,204457,185426,28634,8.76701495,-6029,-1.845929075
2023-10-26 13:47:44.955,94822,204527,185467,46875,14.351953125,-818,-0.25045115
2023-10-26 13:47:44.955,94823,204527,185455,-38396,-11.7558953,10073,3.084100775
2023-10-26 13:47:44.955,94824,204562,185490,-53305,-16.320658375,4692,1.4365731
2023-10-26 13:47:44.955,94825,204613,185494,26825,8.213144375,-6221,-1.904714675
2023-10-26 13:47:44.955,94826,204656,185526,47072,14.4122696,-811,-0.248307925
2023-10-26 13:47:44.955,94827,204708,185552,-36975,-11.320820625,10217,3.128189975
2023-10-26 13:47:44.955,94828,204733,185551,-53712,-16.4452716,4832,1.4794376
2023-10-26 13:47:44.955,94829,204766,185571,26831,8.214981425,-6462,-1.97850285
2023-10-26 13:47:44.985,94830,204812,185585,49003,15.003493525,-1515,-0.463855125
2023-10-26 13:47:44.985,94831,204844,185620,-34907,-10.687650725,9449,2.893047575
2023-10-26 13:47:44.985,94832,204898,185631,-52500,-16.0741875,4173,1.277668275
2023-10-26 13:47:44.985,94833,204935,185632,27564,8.4394077,-7593,-2.324786775
2023-10-26 13:47:44.985,94834,204978,185658,50502,15.46244985,-3676,-1.1254993
2023-10-26 13:47:44.985,94835,205010,185667,-34274,-10.49384195,6408,1.9619694
2023-10-26 13:47:44.985,94836,205028,185668,-53756,-16.4587433,635,0.194421125
2023-10-26 13:47:44.985,94837,205047,185684,25929,7.938811575,-11213,-3.433140275
2023-10-26 13:47:44.985,94838,205071,185703,50686,15.51878605,-6878,-2.10587165
2023-10-26 13:47:44.985,94839,205086,185712,-33267,-10.185523725,3882,1.18857135
2023-10-26 13:47:44.985,94840,205141,185712,-55409,-16.964850575,-1299,-0.397721325
2023-10-26 13:47:44.985,94841,205163,185745,22063,6.755139025,-12771,-3.910160925
2023-10-26 13:47:44.985,94842,205204,185728,46054,14.10058345,-7969,-2.439908575
2023-10-26 13:47:44.985,94843,205237,185764,-37088,-11.3554184,3717,1.138052475
2023-10-26 13:47:44.985,94844,205263,185782,-57664,-17.6552752,-537,-0.164415975
2023-10-26 13:47:44.985,94845,205298,185814,21384,6.5472462,-11846,-3.62694905
2023-10-26 13:47:45.025,94846,205336,185829,49295,15.092896625,-7394,-2.26385795
2023-10-26 13:47:45.025,94847,205374,185829,-33847,-10.363105225,4109,1.258073075
2023-10-26 13:47:45.025,94848,205430,185856,-58694,-17.97063545,-74,-0.02265695
2023-10-26 13:47:45.025,94849,205430,185862,19987,6.119519725,-11219,-3.434977325
2023-10-26 13:47:45.025,94850,205440,185864,50480,15.455714,-6453,-1.975747275
2023-10-26 13:47:45.025,94851,205392,185842,-31820,-9.7424885,5531,1.693453925
2023-10-26 13:47:45.025,94852,205374,185827,-57236,-17.5242323,1534,0.46967245
2023-10-26 13:47:45.025,94853,205316,185813,19252,5.8944811,-10110,-3.09542925
2023-10-26 13:47:45.025,94854,205233,185759,49614,15.19056645,-6178,-1.89154915
2023-10-26 13:47:45.025,94855,205168,185737,-31672,-9.6971746,5294,1.62089045
2023-10-26 13:47:45.025,94856,205105,185714,-59452,-18.2027161,1059,0.324239325
2023-10-26 13:47:45.025,94857,205033,185680,18365,5.622903875,-11127,-3.406809225
2023-10-26 13:47:45.025,94858,204957,185650,50769,15.544198575,-8081,-2.474200175
2023-10-26 13:47:45.025,94859,204875,185633,-30702,-9.40018485,2626,0.80401555
2023-10-26 13:47:45.055,94860,204842,185602,-59647,-18.262420225,-1877,-0.574690475
2023-10-26 13:47:45.055,94861,204754,185569,17249,5.281212575,-13873,-4.247565775
2023-10-26 13:47:45.055,94862,204684,185548,50423,15.438262025,-10233,-3.133088775
2023-10-26 13:47:45.055,94863,204610,185511,-30429,-9.316599075,1550,0.47457125
2023-10-26 13:47:45.055,94864,204532,185492,-59303,-18.157096025,-2065,-0.632251375
2023-10-26 13:47:45.055,94865,204474,185467,16679,5.106692825,-13983,-4.281245025
2023-10-26 13:47:45.055,94866,204415,185459,51791,15.857109425,-10314,-3.15788895
2023-10-26 13:47:45.055,94867,204363,185443,-28135,-8.614233625,2227,0.681851725
2023-10-26 13:47:45.055,94868,204311,185415,-59188,-18.1218859,-363,-0.111141525
2023-10-26 13:47:45.055,94869,204266,185405,15992,4.8963506,-11933,-3.653586275
2023-10-26 13:47:45.055,94870,204233,185403,50805,15.555220875,-8969,-2.746083575
2023-10-26 13:47:45.085,94871,204203,185382,-28783,-8.812635025,2498,0.76482515
2023-10-26 13:47:45.085,94872,204191,185386,-60260,-18.4501055,-922,-0.28229335
2023-10-26 13:47:45.085,94873,204184,185384,14343,4.391468025,-13081,-4.005075175
2023-10-26 13:47:45.085,94874,204175,185379,50747,15.537462725,-10114,-3.09665395
2023-10-26 13:47:45.085,94875,204161,185380,-27792,-8.5092156,2021,0.618779675
2023-10-26 13:47:45.085,94876,204161,185380,-61278,-18.76179165,-765,-0.234223875
2023-10-26 13:47:45.085,94877,204176,185372,12155,3.721557125,-12855,-3.935879625
